seed_idx,estimate
74,291809.71224363847
81,280451.4953752513
97,288519.49561048456
161,283551.87347644183
166,278907.6657118374
185,284993.41768576496
336,286665.0246599688
411,287679.83719903964
518,280359.7916283135
601,264099.9518670829
624,275337.8951943322
713,282670.02081969194
925,279901.9732201896
939,286257.69856213033
969,283598.81540699286
979,281195.87381499907
980,263681.72261221847
26,287383.9905328835
167,280314.3589674933
172,294094.2825340857
205,284293.2856528384
233,266898.5396036227
560,261281.43718161847
583,271889.4182034964
596,278231.41300554987
876,294193.11719800933
913,294388.36053359415
914,283388.8283396437
971,283174.2903911187
2,283160.8293001679
7,280794.8246320558
82,286746.36955832934
117,281540.1286875054
179,278449.92498273274
217,295481.39450618695
239,268426.17411844514
278,305710.1421662728
319,286112.3983245966
322,288131.03179959644
491,287439.46104997204
501,298370.4598605287
510,277498.2038417587
620,287848.53856718686
627,279156.74779989093
633,283383.7599579996
651,281818.84678295767
683,288608.99319157994
698,269088.17341817246
760,291703.53049530165
810,276077.34662359674
818,294021.4822457768
819,293897.4664538868
861,287371.8983006807
910,272486.648830325
982,287378.98672716995
993,285214.2130147479
121,281556.23784974817
139,277271.3325177411
148,283112.76442078716
195,271371.46556681476
286,276405.72782022576
316,280950.909231179
391,293355.07965614717
612,285803.05484579137
636,288357.82606349257
706,300740.4381194687
748,284479.64073972235
839,275581.1664854214
885,276118.84179325367
890,285050.0203149633
918,279774.8580936864
14,279005.54531732126
19,277427.70385396696
20,295051.55936897
99,298078.18919663265
260,273785.9984598632
315,283667.2593905965
351,282962.49624134775
356,294283.4369646028
359,281135.7032790248
575,283411.5369150603
608,276817.15336894325
629,274264.6084417205
634,281646.12278053816
714,275341.3401332985
766,284346.82943699503
788,290449.3259248529
843,293036.72046789434
865,286372.1921219822
915,291430.1455532721
947,290105.68475314754
974,285709.1644349314
43,282408.5419717269
79,299058.9109068752
101,289116.9681739036
134,299042.4863274826
164,289633.82867768646
184,277501.800252835
283,297466.8783071295
292,279797.4358218503
333,287714.20947219955
369,298173.3233502076
432,282444.77500332426
460,287872.28133561625
489,272526.01689886925
496,296108.79934488126
557,286492.630704408
649,295677.46929242095
682,282402.09928010305
686,281643.51951476233
694,271077.4907227616
765,278507.6784298746
785,283674.62331510056
797,280370.50715278386
813,282585.8312615376
836,284315.9353500253
854,288030.5269857183
893,282597.5240568066
926,292361.3903357772
945,298635.1590334958
107,288299.1678866332
214,300624.03695540794
258,287189.38756852056
280,291011.954485149
418,278256.7719333517
463,282007.64250603045
544,282317.7170998474
562,301669.1590129995
564,282507.93759402767
600,298220.0151404221
637,271906.0749838078
648,299304.987438947
774,288863.9685838708
992,286034.2525906671
38,286833.99144744524
65,273090.8862362075
92,278384.3695971064
145,280031.1340351481
178,284237.085103125
284,288544.45265356597
306,289039.07090089284
321,287594.0598861189
558,276226.5709357274
653,287362.6734457735
744,294573.6766326057
761,282446.4994189238
777,281821.75404491945
12,302130.02787805826
94,274508.1736638276
129,277840.76682336756
153,265956.68453097594
247,273964.714365811
264,298995.22634125984
367,273256.1714707224
383,277608.6659042787
385,285321.2452547913
508,283280.4551770599
590,284847.912712841
635,271630.125124672
665,280751.4396720544
700,286974.4122538247
735,278423.89482094307
866,289058.9499656743
999,295038.37378748157
44,291840.0256908525
125,292743.1719052813
170,271405.6771008036
212,278115.8172909791
307,299686.53854013485
331,280693.3487082575
346,295891.26419679
360,285795.3287015095
362,280968.10006121994
474,283950.76687519345
475,289867.70867335866
526,297401.8882463254
639,275465.60693432693
640,303036.5211983404
674,275761.406585969
725,283430.43393339927
750,292210.2605025107
823,276524.6836252373
933,280246.23757863016
40,273773.09582562593
120,276377.5716029663
176,294271.9048566055
236,303410.2280936137
249,276739.7003051312
262,272479.90116058086
529,283127.3339447847
574,292521.69500584545
595,285265.1511663556
603,284990.957211809
670,285254.6744959062
710,275726.1841667623
724,294904.2774665892
849,284033.5824300303
895,276244.14867546206
924,295084.3086609818
964,285928.1811527245
152,295692.25712770113
226,285074.58587770606
266,292278.662033068
295,272576.7434871284
317,281674.611660356
339,275519.92509742704
374,293337.6939352572
392,292165.4853554996
421,276253.82942708203
436,288744.47501308296
566,279150.20672155335
580,292887.7476446412
711,289873.7540756929
731,271986.2613740437
734,298749.91216037853
809,279435.1997531077
833,274343.4370860992
968,283394.4037688559
308,283759.50109159603
395,275894.50760849525
398,308563.3737997163
